background,character_name,handle,concept,proficiencies,level_2_skills,credits,debt_or_obligation,page
Bounty Hunter,Marcus Vale,Tagger,Patient tracker and street-level contract hunter.,Small Arms; Investigation,Small Arms; Investigation,15000,Owe a bounty to the wrong people.,17
Cat Burglar,Lena Cross,Slip,Quiet thief who lives three exits ahead of the alarm.,Stealth; Infiltration,Stealth; Infiltration,3000,"Your fence owes you 5,000 still.",18
Corporate Security,Adrian Holt,,Disgraced security professional with old protocols and new enemies.,Small Arms; Corporate,Small Arms; Corporate,5000,No explicit debt listed.,19
Cyber-Junkie,Nika Voss,Glitch,Mesh addict and cortex-scorched systems savant.,Hacking; Awareness,Hacking; Cybernetics Handling,500,"3,000 in debt to a hacker collective; they expect results.",20
Desert Courier,Salim Reyes,Dust,Wasteland courier who treats speed as armour.,Piloting; Stealth,Piloting; Parkour,8000,Someone wants their package back.,21
Ex-Military,Dana Kaur,Sarge,Veteran deserter with battlefield instincts and old ghosts.,Big Guns; First Aid,Big Guns; First Aid,10500,"No debt, but someone high up wants you erased.",22
Gambler on the Run,Milo Rask,Lucky,Charming runaway whose luck has a body count.,Small Arms; Fast Talk,Small Arms; Fast Talk,100,"5,000 credits in blood money debt.",23
Grease Monkey,Rosa Tan,Spanner,Machine whisperer with a toolbox full of stolen miracles.,Jury-Rigging; Piloting,Jury-Rigging; Scavenging,800,"2,500 in unpaid garage fees.",24
Gutter Rat Orphan,Jax Morrow,Scraps,Undercity survivor who knows where the city forgets to look.,Melee Combat; Parkour,Melee Combat; Parkour,500,"Owe 5,000 to a gang fixer.",25
Mesh Hacker,Ilya Novak,Ghostline,Signal terrorist and AR illusionist with drone-feed instincts.,Drone Warfare; Hacking,Drone Warfare; Hacking,2000,Blacklisted from every mainstream mesh network.,26
Pilot,Talia Cruz,Vector,Corporate-trained pilot who cannot stop answering the signal.,Drone Warfare; Piloting,Piloting; Engineering,30000,"Licence renewal due in a week; flat 15,000Cr fee.",27
Piss-Poor Artist,Emi Laurent,Smudge,Broke street artist who sees the city as unfinished canvas.,Performance; Fast Talk,Performance; Media,0,"About 40,000 in Art School loans with 22% compounding interest.",28
Religious Fanatic,Jonah Mirek,Witness,True believer whose faith keeps moving when sense says stop.,Survival; Persuasion,Survival; First Aid,500,Your cult expects absolute loyalty.,29
Rogue Surgeon,Dr. Mira Sayegh,Needle,Black-clinic surgeon who can patch almost anything except trust.,First Aid; Cybernetics Handling,First Aid; Cybernetics Handling,20000,Wanted for illegal body mods.,30
Samurai Otaku,Kenji Park,,"Obsessive Samurai fan with merch, footwork, and no field time.",Street Cred; Performance,Street Cred; Performance,10000,A lot of collectibles.,31
Scavenger,Petra Vance,Rummage,Ruins-picker who survives by finding value in wreckage.,Melee Combat; Scavenging,Scavenging; Stealth,1275,All fairly found laying around.,32
Student Dropout,Noor Bellamy,Late Fee,"Corporate academy escapee with debts, passkeys, and questions.",Engineering; Corporate,Engineering; Corporate,2000,"100,000 in corporate debt; they want it back.",33
Test Subject,Elise Ward,Batch 7,Escaped experiment held together by faulty cyberware and stubbornness.,Survival; Cybernetics Handling,Survival; First Aid,50,No explicit debt listed.,34
Underground Fighter,Tomasz Iversen,Brick,Pit-fighter who knows the sound a room makes before violence.,Melee Combat; Street Cred,Melee Combat; Blades,10000,On the hit list of an underground fight promoter.,35
Washed Up Rocker,Cass Vega,Static Cass,Former riot-maker with one song left and too many grudges.,Performance; Fast Talk,Performance; Persuasion,300,Owe a music label a whole album.,36
